observer	siteName	lat	lon	date	time	elevation	area	width	length	slope	aspect	canopyType	canopyDensity	healthyFernCount	sickOrDeadFernCount	dead.Class.1	dead.Class.2	dead.Class.3	dead.Class.4	notes	photos	mortality
1	Ben	Larrabee Site 1 (Stinky)	48.6544	-122.4896	2025-07-07	20:26:04	235	627	19	33	33	271	Deciduous	60	5	37	0	3	10	24	Heavy slope, lots of die off and stinky bob, stinky bob over grew on a lot of the dead sword ferns, west facing slope, no mosquitos, steep and hard to climb	https://pshannon.net/photos/fernSurvey2025/larrabee-1/IMG_6292.jpg | https://pshannon.net/photos/fernSurvey2025/larrabee-1/IMG_6294.jpg	0.88
2	Ben	Larrabee Site 2 (off highway)	48.65367	-122.49057	2025-07-07	21:23:42	167	143	11	13	37	251	Mixed	92	1	7	0	3	1	3	Right off highway, steep, minimal undergrowth	https://pshannon.net/photos/fernSurvey2025/larrabee-2/IMG_6295.jpg | https://pshannon.net/photos/fernSurvey2025/larrabee-2/IMG_6298.jpg	0.88
3	Ben	Larrabee Site 3 (behemoth)	48.653823	-122.489781	2025-07-07	23:48:18	212	2074	34	61	26	263	Mixed	60	23	73	5	11	50	7	High density death, first time seeing this many dead, large over growth around the ferns, found other dead plants around them, steep slope	https://pshannon.net/photos/fernSurvey2025/larrabee-3/IMG_1511.jpg | https://pshannon.net/photos/fernSurvey2025/larrabee-3/IMG_6299.jpg	0.76
4	Ben	George Smallwood Site 1	46.8544	-122.2739	2025-07-08	18:39:06	796	243	9	27	12	336	Deciduous	95	10	6	0	3	1	2	Right off trail, visible from trail, high fern density (but not specifically sword fern), small site, high canopy cover	https://pshannon.net/photos/fernSurvey2025/smallwood-1/IMG_6308.jpg | https://pshannon.net/photos/fernSurvey2025/smallwood-1/IMG_6309.jpg | https://pshannon.net/photos/fernSurvey2025/smallwood-1/IMG_6310.jpg	0.38
5	Kaiis	George Smallwood 2 (Nextdoor)	46.5116	-122.1627	2025-07-08	18:59:03	819	255	17	15	13	342	Deciduous	95	15	15	3	3	1	8	Heavy canopy, heavy plant density, diverse undergrowth, ferns growing on trees	https://pshannon.net/photos/fernSurvey2025/smallwood-2/IMG_6312.jpg | https://pshannon.net/photos/fernSurvey2025/smallwood-2/IMG_6313.jpg | https://pshannon.net/photos/fernSurvey2025/smallwood-2/IMG_6314.jpg	0.5
6	Kaiis	Little Mashell Falls 1	46.5113	-122.1643	2025-07-08	19:22:00	774	414	18	23	11	40	Deciduous	77	5	11	2	1	4	4	NE facing, both sides of traill, right off of trail, high amount of traffic (hikers), heaving mixed understory	https://pshannon.net/photos/fernSurvey2025/mashellFalls-1/IMG_6320.jpg | https://pshannon.net/photos/fernSurvey2025/mashellFalls-1/IMG_6321.jpg	0.69
7	Ben	Dash Point Site 1	47.1848	-122.247	2025-07-14	16:23:40	257	156	13	12	8	346	Mixed	35	5	5	0	0	4	1	Heavy density of invasive species, black berries mainly, heavy brush around site, right off of trail, dead log in site, blackberries yummy		0.5
8	Ben	NW Trek Site 1	46.9118222	-122.2749188	2025-07-14	19:45:20	776	2300	25	92	3	101	Mixed	20	19	23	7	4	4	8	Large site, right on trail, lot of children go through this trail, large mix of stage fours and ones, stinging needle, lots of invasive species (stinky bob, neddle, black berry, other ferns, low canopy cover, low slope.		0.55
9	Ben	NW Trek Site 3	46.9125455	-122.2738013	2025-07-14	20:11:27	785	676	26	26	10	133	Mixed	40	15	26	5	1	7	13	Low canopy cover, flat slope, large site, seem to be groupings of dead, right off trail, heavy over growth, less stinging needle,		0.63
10	Ben	NW Trek Site 2	46.9128526	-122.2743559	2025-07-14	20:29:12	751	117	9	13	8	73	Mixed	88	2	6	3	1	1	1	High canopy cover, right off trail, small site (note this small site is not the only one, in interest in finding other large sites we have pasted smaller sites)		0.75
11	Ben	NW Trek Site 4	46.9121314	-122.272877	2025-07-14	20:38:11	763	91	7	13	3	340	Deciduous	70	1	11	0	2	5	4	Compact grouping, right off trail, lots of other species dead, still invasive species are alive		0.92
12	Ben	NW Trek Site 5 Reflection Loop	46.9127503	-122.2729038	2025-07-14	21:03:07	740	720	24	30	7	83	Mixed	80	18	25	3	4	6	12	Stage ones are near trail, heavy canopy, dense sword fern population, right off trail, lots of other dead twigs and branches		0.58
13	Ben	NW Trek Site 6	46.9131831	-122.2737158	2025-07-14	21:21:20	740	480	20	24	4	123	Mixed	90	9	11	3	4	2	2	Off trial by a couple feet, both sides of trail, heavy canopy cover, flat, lots of sites here		0.55
14	Kaiis	Fort Ward Site 1	47.5886	-122.5299	2025-07-15	16:28:54	190	910	26	35	13	267	Mixed	90	14	9	1	2	5	1	Dispersed cite, lots of underground/ivy, dense ferns		0.39
15	Kaiis	Fort Ward Site 2	47.5886	-122.53	2025-07-15	16:38:16	167	297	11	27	12	233	Mixed	87	4	6	0	2	4	0	Spread out, mosquitoes, large clump of death		0.6
16	Kaiis	Fort Ward Site 3 (the big one)	47.5883	-122.5296	2025-07-15	17:01:31	145	2144	32	67	10	156	Mixed	92	4	50	3	9	18	20	Massive die off site mainly stumps, cut trees but overgrowth prevelant, lots of dead ferns surrounding, off trail		0.93
17	Kaiis	Kitsap Memorial State Park (Zero Site)	47.8167	-122.6511	2025-07-15	18:29:35	55	1	1	1	2	212	Conifers	90	0	0	0	0	0	0	Not a lot of density large recreational area, small amount of nature trails, predominantly camping, a couple individual deaths but nothing to make a full site report		0
18	Kaiis	Illahee State Park	47.5977	-122.5985	2025-07-15	19:43:26	257	1	1	1	19	334	Mixed	92	0	0	0	0	0	0	Relatively small park, dense amount of ferns steep slope, low traffic area, well kept trails		0
19	Kaiis	Squaxin Park	47.071162	-122.893135	2025-07-21	03:34:43	80	1	1	1	8	0	Mixed	88	0	0	0	0	0	0	Zero Site		0
20	Kaiis	Millersylvania Park (zero site)	46.9144	-122.921002	2025-07-21	03:40:34	384	1	1	1	13	0	Mixed	93	0	0	0	0	0	0	Zero Site		0
21	Ben	Harstine Island State Park Site 1	47.2618	-122.871	2025-07-21	18:35:51	179	462	21	22	7	4	Deciduous	82	17	18	5	4	6	3	Lots of dead logs and twigs over site, many stage ones, lots of new growth and other types of plants growing over, the age of die-off differs here heavily	https://pshannon.net/photos/fernSurvey2025/harstine-1/IMG_6505.jpeg | https://pshannon.net/photos/fernSurvey2025/harstine-1/IMG_6506.jpeg | https://pshannon.net/photos/fernSurvey2025/harstine-1/IMG_6507.jpeg	0.51
22	Ben	Harstine Island State Park Site 2	47.2611	-122.8715	2025-07-21	19:00:26	145	744	24	31	35	138	Mixed	40	6	31	13	8	7	3	Steep hill, couldn't get down, scared of ground hornets, lots of sun (refer to photo), low canopy cover with heavy sunlight, not much new over growth	https://pshannon.net/photos/fernSurvey2025/harstine-2/IMG_6508.jpeg | https://pshannon.net/photos/fernSurvey2025/harstine-2/IMG_6509.jpeg	0.84
23	Ben	Harstine Island State Park Site 3	47.2608	-122.8692	2025-07-21	19:29:30	68	720	20	36	10	184	Mixed	87	20	24	0	1	1	22	Large amount of stumps, spread out on a large site, little undergrowth, not many invasive species, heavy canopy cover	https://pshannon.net/photos/fernSurvey2025/harstine-3/IMG_6516.jpeg | https://pshannon.net/photos/fernSurvey2025/harstine-3/IMG_6517.jpeg | https://pshannon.net/photos/fernSurvey2025/harstine-3/IMG_6518.jpeg	0.55
24	Anonymous	Jarrell Cove Site 1	47.283	-122.8825	2025-07-21	20:08:47	66	224	14	16	3	222	Conifers	43	1	10	0	4	3	3	Small site, right off of trail, lots of over growth, compact, had to look hard	https://pshannon.net/photos/fernSurvey2025/jarrell-2/IMG_6527.jpeg | https://pshannon.net/photos/fernSurvey2025/jarrell-2/IMG_6528.jpeg	0.91
25	Ben	Jarrell Cove Site 2	47.2842	-122.8834	2025-07-21	20:19:50	78	450	15	30	2	178	Deciduous	30	7	12	4	3	2	3	Right off trail, dense, lots of overgrowth and new plants, early stages in the front of the site	https://pshannon.net/photos/fernSurvey2025/jarrell-2/IMG_6529.jpeg | https://pshannon.net/photos/fernSurvey2025/jarrell-2/IMG_6530.jpeg | https://pshannon.net/photos/fernSurvey2025/jarrell-2/IMG_6531.jpeg	0.63
26	Ben	Harstine Road Site 1	47.2359	-122.8648	2025-07-21	21:22:29	89	1520	20	76	2	340	Mixed	76	31	17	11	4	2	0	Right off road, pretty dispersed, class fours may be hidden under large undergrowth, couldn't inspect further due to fears of it being private property,	https://pshannon.net/photos/fernSurvey2025/harstine-road-1/IMG_6529.jpeg | https://pshannon.net/photos/fernSurvey2025/harstine-road-1/IMG_6530.jpeg | https://pshannon.net/photos/fernSurvey2025/harstine-road-1/IMG_6531.jpeg	0.35
27	Ben	Harstine Road Site 2	47.234	-122.8702	2025-07-21	21:31:58	100	400	20	20	32	83	Mixed	60	15	22	8	11	3	0	Saw from road, steep, large amount of early death,	https://pshannon.net/photos/fernSurvey2025/harstine-road-2/IMG_6532.jpeg | https://pshannon.net/photos/fernSurvey2025/harstine-road-2/IMG_6534.jpeg	0.59
28	Ben	Interlocken Site 1 (Healthy Site)	46.6355	-122.307	2025-07-29	20:33:52	212	306	18	17	28	87	Mixed	63	13	0	0	0	0	0	Ferns per square meter: 0.37 (crowns), height distribution would vary 3-4in with most of the Sword ferns being 3.6-4ft tall, Sporangia was ever present		0
29	Ben	Interlocken Site 2 (Healthy Site)	46.6363	-122.3076	2025-07-29	20:36:33	145	1131	39	29	40	309	Mixed	39	49	0	0	0	0	0	Ferns per square meter: 0.45 (crown), height variation was about 3'8" to 4'3" Sporangia was present again		0
30	Ben	Interlocken Site 3 (Healthy Site)	46.6352	-122.3052	2025-07-29	20:40:22	145	416	16	26	47	311	Mixed	31	28	0	0	0	0	0	Ferns per square meter: 0.70 (crown), height variation was about 4'2" to 5'1" Sporangia was present again		0
31	Ben	Schmitts Reserve Site 1 (Healthy Site)	47.5745	-122.4006	2025-07-29	20:42:30	156	624	16	39	12	28	Mixed	63	14	0	0	0	0	0	Ferns per square meter: 0.23 (crown), height variation was about 4'2" to 5'2" Sporangia was present again		0
32	Ben	Schmitts Reserve Site 2 (Healthy Site)	47.577	-122.4016	2025-07-29	20:44:15	235	192	12	16	34	238	Mixed	48	14	0	0	0	0	0	Ferns per square meter: 0.77 (crown), height variation was about 4'3" to 4'9" Sporangia was present again		0
33	Kaiis	Dead Horse 1	47.50543	-122.24752	2025-08-05	17:08:05	179	357	17	21	17	61	Deciduous	60	6	7	1	2	1	3	Spiders, dispersed, not very dense, minimal undergrowth, dry soil, right off trail		0.54
34	Kaiis	Dead Horse 2 (original training site)	47.506	-122.2478	2025-08-05	17:29:14	156	900	25	36	14	67	Mixed	83	10	14	1	2	4	7	Spiders, really old 4s, gravel deposits, dispersed, minimal undergrowth but healthy site		0.58
35	Ben	Tiger Mountain 1	47.52718	-121.98738	2025-06-23	18:24:33	920	378	18	21	12	289	Mixed	65	18	8	1	1	4	2	Misquote hell, sticky bob and invasive species covers class 4 dead ferns		0.31
36	Ben	Tiger Mountain Site 2	47.5277777777778	-121.991944444444	2025-06-23	18:48:27	740	84	12	7	41	6	Conifers	90	8	5	1	1	1	4	Death class 1 & 2 are 0, some ecological succession, North Slope hypothesis disproven,		0.38
37	Ben	Cougar Mountain site 1	47.5122	-122.08957	2025-06-27	18:11:18	662	81	9	9	37	123	Conifers	95	2	5	1	0	1	3	No misquitos, steep, directly under tree, some crowns look like they are growing on wood, heavy dead brush underneath tree from higher trees		0.71
38	Kaiis	Cougar 2 (large)	47.51198	-122.09023	2025-06-27	18:29:39	697	740	20	37	24	119	Deciduous	87	10	11	0	4	1	5	Lots of other flora, east facing like site 1, mosquitos, largest site so far		0.52
39	Anonymous	Cougar 3	47.51223	-122.09036	2025-06-27	18:44:11	697	266	14	19	19	42	Deciduous	83	9	8	1	4	2	3	Lot of lower growth veg, dense site, right of trail, NE facing, squites		0.47
40	Kaiis	Cougar 4	47.5141666666667	-122.090833333333	2025-06-27	19:07:42	875	544	17	32	27	180	Deciduous	92	12	14	4	4	4	2	Heavy undergrowth, not very dense, S facing, larger site with heavy slope		0.54
41	Ben	St. Edwards Park Total Site	47.7332	-122.2527	2025-07-22	18:49:45	381	1	1	1	5	73	Mixed	71	71	3	0	0	0	3	This was a mostly dead site with 3 class fours that we found. These were extremely out of the way and were not found with ease. The live sword ferns were not dense but we did see that there were cuts made on the sword ferns		0.04
